similarity,label
0.33587939,1
0.29723323,1
0.29349712,1
0.24279378,1
0.22580759,1
0.23203345,1
0.21919141,1
0.37852219,1
0.33471149,1
0.35529470,1
0.28042715,1
0.04850832,1
0.45476111,1
0.21103047,1
0.23445180,1
0.28713861,1
0.24686263,1
0.66177873,1
0.18523720,1
0.46633366,1
0.70483801,1
0.48757390,1
0.47638676,1
0.62224347,1
0.33323986,1
0.24835286,1
0.22367442,1
0.08982115,1
0.35166652,1
0.33589555,1
0.63971630,1
0.60094616,1
0.48219140,1
0.32020646,1
0.32736584,1
0.15458300,1
0.46802045,1
0.49670828,1
0.22078618,1
0.40332749,1
0.27488592,1
0.36412394,1
0.41110506,1
0.33930592,1
0.26277722,1
0.39546398,1
0.42988021,1
0.34704294,1
0.26505293,1
0.27708814,1
0.17273962,1
0.31545832,1
0.30328273,1
0.30402291,1
0.27212597,1
0.23937080,1
0.49709669,1
0.38676277,1
0.40758200,1
0.41436040,1
0.49184175,1
0.41738642,1
0.39432739,1
0.45167026,1
0.36936347,1
0.36501540,1
0.22053397,1
0.19601296,1
0.20478956,1
0.17558706,1
0.22009166,1
0.29223667,1
0.40810033,1
0.49846498,1
0.39238893,1
0.38739536,1
0.27602372,1
0.35858357,1
0.26757789,1
0.35116713,1
0.31318437,1
0.19998802,1
0.24026289,1
0.46646004,1
0.50132056,1
0.43367417,1
0.30031943,1
0.34478392,1
0.32188439,1
0.24493198,1
0.35536573,1
0.28531754,1
0.17479566,1
0.33784276,1
0.42089499,1
0.40072823,1
0.19531587,1
0.30420894,1
0.20911505,1
0.32302906,1
0.17482501,1
0.22979144,1
0.13000173,1
0.12441101,1
0.15745972,1
0.23551329,1
0.16494670,1
0.19789058,1
0.15857146,1
0.15158411,1
0.15082714,1
0.19511459,1
0.20363286,1
0.23135306,1
0.17408492,1
0.15632704,1
0.18536230,1
0.35207546,1
0.36784342,1
0.35142588,1
0.27585469,1
0.30176266,1
0.33010814,1
0.25060228,1
0.31885559,1
0.27167064,1
0.16954576,1
0.23139532,1
0.27202976,1
0.36209745,1
0.20706562,1
0.56322648,1
0.09391258,1
0.20229284,1
0.20513496,1
0.31403747,1
0.15887662,1
0.16749349,1
0.23567770,1
0.15004412,1
0.26941063,1
0.17187339,1
0.19052241,1
0.31466481,1
0.24649735,1
0.22224363,1
0.56296294,1
0.30125496,1
0.38177792,1
0.48890553,1
0.51426187,1
0.50717187,1
0.47242983,1
0.49537445,1
0.30756217,1
0.39141113,1
0.30676995,1
0.16522865,1
0.14088089,1
0.33295605,1
0.11227335,1
0.12825604,1
0.11174878,1
0.45535852,1
0.46623712,1
0.33481648,1
0.41726917,1
0.40250207,1
0.36895390,1
0.43471472,1
0.38202297,1
0.46306760,1
0.35765275,1
0.25965662,1
0.30313420,1
0.33841072,1
0.34173897,1
0.39126944,1
0.14124259,1
0.12312231,1
0.31078454,1
0.24856666,1
0.21621978,1
0.71130889,1
0.43336837,1
0.31881838,1
0.53253120,1
0.50195856,1
0.49653268,1
0.51593083,1
0.43293947,1
0.47167895,1
0.38538673,1
0.41704694,1
0.54722160,1
0.33406309,1
0.37135040,1
0.31752784,1
0.47049121,1
0.23205168,1
0.29541082,1
0.31729021,1
0.65373663,1
0.73174399,1
0.53884765,1
0.38326384,1
0.45747152,1
0.54122081,1
0.27253787,1
0.47822563,1
0.57254250,1
