similarity,label
-0.04670699,1
0.04434973,1
0.00011449,1
-0.02267325,1
0.13438443,1
0.14073898,1
0.01005317,1
0.11546272,1
0.13075772,1
0.13047811,1
0.12753227,1
0.13322686,1
0.31168227,1
0.03843781,1
0.51101124,1
0.40312811,1
0.45020024,1
0.01945777,1
0.07961330,1
0.04399129,1
0.08107022,1
0.14193685,1
0.08902423,1
0.02502088,1
0.05033809,1
0.07869636,1
0.02520063,1
-0.00414332,1
0.04217120,1
0.00601207,1
-0.04550093,1
0.08468864,1
0.03595309,1
0.04432080,1
0.00445394,1
0.37785084,1
0.05855431,1
0.47304298,1
0.16320222,1
0.36692137,1
0.50141617,1
0.15096624,1
0.10991649,1
0.06820478,1
0.03235991,1
0.13353588,1
0.38343531,1
0.16701708,1
0.11946814,1
0.07429462,1
0.45321810,1
0.72405910,1
0.74118549,1
0.04566612,1
0.13521146,1
-0.04936279,1
0.22059721,1
0.15833738,1
0.29871807,1
0.30811039,1
0.03006288,1
0.11658608,1
0.12117434,1
0.03459140,1
0.05545920,1
0.06585691,1
0.31698380,1
0.48003983,1
0.40989341,1
0.04864423,1
0.16483905,1
0.16317293,1
0.40367655,1
0.01592020,1
0.11784030,1
0.00535327,1
0.07829913,1
0.07260051,1
0.02907187,1
0.13295945,1
0.12361157,1
0.16639978,1
0.15309815,1
0.06040417,1
0.52596875,1
0.05068883,1
0.57575971,1
0.03871533,1
0.13116989,1
0.07199828,1
0.04090889,1
0.04712423,1
0.03965366,1
0.01053188,1
0.11119673,1
0.04500959,1
0.04756013,1
0.17060775,1
0.21329255,1
0.18183406,1
0.00036424,1
0.46615534,1
0.07385840,1
0.62694369,1
0.55652334,1
-0.11703856,1
0.10955369,1
0.03020916,1
0.01079718,1
0.23686816,1
0.10916723,1
0.24249342,1
0.34734034,1
0.07070855,1
0.09429144,1
0.13185294,1
-0.00003872,1
0.01313658,1
0.42283831,1
0.42341744,1
0.09292380,1
0.06657069,1
0.07062212,1
0.11479612,1
0.09408907,1
0.08950059,1
0.12781304,1
0.14750378,1
0.08210461,1
0.01656518,1
0.84933061,1
0.55747612,1
0.54617734,1
0.37950043,1
0.36258937,1
0.41745339,1
0.41068879,1
0.41504454,1
0.28926826,1
0.33204253,1
0.34966759,1
0.46950913,1
0.30689468,1
0.26399697,1
0.46253060,1
0.51571732,1
0.55900638,1
0.43444351,1
0.50390001,1
0.50384492,1
0.37069349,1
0.41059380,1
0.35970165,1
0.36063834,1
0.40602552,1
0.32280740,1
0.35466805,1
0.38475496,1
0.38611169,1
0.46364654,1
0.44293896,1
0.25377291,1
0.19941984,1
0.42996540,1
0.18878642,1
0.24392799,1
0.42064204,1
0.47871450,1
0.31075984,1
0.51258281,1
0.60830918,1
0.56893388,1
0.42664448,1
0.45806430,1
0.39726954,1
0.42587314,1
0.43925832,1
0.27208307,1
0.41615683,1
0.40595188,1
0.50035994,1
0.55602907,1
0.35457650,1
0.23043854,1
0.53530201,1
0.21432780,1
0.31477572,1
0.43723960,1
0.54581579,1
0.57955754,1
0.48028416,1
0.55828317,1
0.35714322,1
0.34305485,1
0.36096251,1
0.35089237,1
0.40290391,1
0.24986036,1
0.31281352,1
0.37597052,1
0.41848326,1
0.52941336,1
0.24510193,1
0.28156588,1
0.54265950,1
0.25484117,1
0.34270491,1
0.33246250,1
0.32791256,1
0.43967083,1
0.51305382,1
0.37810983,1
0.40350775,1
0.57592803,1
0.42193494,1
0.33888094,1
0.35861957,1
0.37978195,1
0.37127244,1
0.36634728,1
0.29001579,1
0.22883367,1
0.39724172,1
0.41111830,1
0.41231976,1
0.54411615,1
0.56767500,1
0.46177357,1
0.58059682,1
0.39697973,1
0.31172057,1
0.36418890,1
0.29873456,1
0.32620363,1
0.39877638,1
0.72801558,1
0.57263738,1
0.70586679,1
0.47070767,1
0.32878669,1
0.28431168,1
0.30354757,1
0.36424549,1
0.46723955,1
0.68312531,1
0.40148203,1
0.72603459,1
0.62014423,1
0.60349485,1
0.66565153,1
0.49341002,1
0.32955132,1
0.39436968,1
0.34458334,1
0.26079906,1
0.34630158,1
0.58111124,1
0.38923086,1
0.25755662,1
0.44932504,1
0.38860248,1
0.29645974,1
0.50305818,1
0.36980406,1
0.31743453,1
0.26040170,1
0.38391639,1
0.35985450,1
0.30095510,1
0.35932667,1
0.29070137,1
0.30564943,1
0.35458233,1
0.29672064,1
0.29904624,1
0.41136323,1
0.27081221,1
0.46291366,1
0.32814983,1
0.11328669,1
0.55240630,1
0.43020932,1
0.27197808,1
0.33236663,1
0.34367525,1
0.64357335,1
0.26176936,1
0.48584606,1
0.71814025,1
0.52213839,1
0.50632289,1
0.64222435,1
0.41732436,1
0.30091559,1
0.26577903,1
0.23700563,1
0.38140813,1
0.40690396,1
0.69067970,1
0.63876355,1
0.54793777,1
0.32053547,1
0.37906730,1
0.36752131,1
0.41970456,1
0.48854520,1
0.38517962,1
0.39325610,1
0.39697637,1
0.31710146,1
0.44814963,1
0.36374903,1
0.28593204,1
0.44724470,1
0.39533349,1
0.41886146,1
0.23216509,1
0.22771042,1
0.26766648,1
0.41292362,1
0.42319251,1
0.40390604,1
0.36351269,1
0.38042181,1
0.53538187,1
0.44134663,1
0.45980880,1
0.48216046,1
0.54093220,1
0.47011915,1
0.36887957,1
0.57073150,1
0.36914486,1
0.43682966,1
0.26874842,1
0.27259333,1
0.33428004,1
0.27870284,1
0.19081302,1
0.35141477,1
0.45502413,1
0.53864145,1
0.40229939,1
0.33699234,1
0.30718485,1
0.36211113,1
0.24956444,1
0.36290637,1
0.31861280,1
0.25474048,1
0.39716181,1
0.48921701,1
0.52109416,1
0.55702488,1
0.33765191,1
0.40622735,1
0.32955958,1
0.35566679,1
0.37974943,1
0.29013234,1
0.28803852,1
0.39281092,1
0.45307204,1
0.44688094,1
0.20697622,1
0.29474217,1
0.22062370,1
0.31218349,1
0.33596654,1
0.27067660,1
0.18817730,1
0.21096991,1
0.24188902,1
0.22936260,1
0.19348290,1
0.21048924,1
0.26733392,1
0.22593010,1
0.17137500,1
0.23982044,1
0.26380580,1
0.24035499,1
0.18270542,1
0.10371850,1
0.08584873,1
0.38876269,1
0.32260555,1
0.36582614,1
0.21320339,1
0.29595268,1
0.32717573,1
0.27457909,1
0.32528305,1
0.26353257,1
0.21610036,1
0.30920472,1
0.27729222,1
0.35226120,1
0.10655428,1
0.49612175,1
0.13925666,1
0.34234608,1
0.34337256,1
0.43219708,1
0.24586332,1
0.31740210,1
0.43521969,1
0.24583170,1
0.30741639,1
0.28274258,1
0.34095800,1
0.43259523,1
0.35245442,1
0.33055115,1
0.58771976,1
0.38376865,1
0.46232615,1
0.60973191,1
0.55871418,1
0.53493990,1
0.48984541,1
0.60632388,1
0.36884700,1
0.43921219,1
0.39283393,1
0.25778619,1
0.15470525,1
0.36738851,1
0.20135188,1
0.15453762,1
0.21216751,1
0.57753942,1
0.71739879,1
0.41465803,1
0.62553265,1
0.56157186,1
0.47556195,1
0.50808215,1
0.53751729,1
0.62597848,1
0.52666147,1
0.44694653,1
0.47625183,1
0.37012464,1
0.66553063,1
0.49185316,1
0.44263950,1
0.24656927,1
0.36372279,1
0.42942278,1
0.39989531,1
0.67324647,1
0.42656774,1
0.39230957,1
0.47578992,1
0.42619130,1
0.51462785,1
0.45854647,1
0.45437503,1
0.53111355,1
0.37592156,1
0.41651466,1
0.48006898,1
0.32003058,1
0.36209541,1
0.37193414,1
0.53925904,1
0.27025207,1
0.36900075,1
0.30546506,1
0.66605884,1
0.74160899,1
0.59226517,1
0.54062017,1
0.52441023,1
0.61830406,1
0.42368999,1
0.50943664,1
0.58280532,1
0.58088015,1
0.44654921,1
0.39067926,1
0.50261641,1
0.40217031,1
0.42725446,1
0.45704846,1
0.49357039,1
0.52796547,1
0.55640497,1
0.56618824,1
0.41082180,1
0.43602549,1
0.51568236,1
0.30282968,1
0.40286311,1
0.33826597,1
0.23796590,1
0.33089579,1
0.27944158,1
0.61322832,1
0.54772493,1
0.58687758,1
0.58557764,1
0.39872768,1
0.47043350,1
0.40329399,1
0.44239448,1
0.33035106,1
0.35705290,1
0.52279952,1
0.56367907,1
0.54651443,1
0.47222675,1
0.49679656,1
0.55915162,1
0.62325121,1
0.44947166,1
0.41592667,1
0.52158276,1
0.31393402,1
0.48047850,1
0.41273138,1
0.39889632,1
0.28250106,1
0.35820959,1
0.31848689,1
0.41609655,1
0.63319389,1
0.61249734,1
0.47892039,1
0.60410324,1
0.46374620,1
0.45641658,1
0.52745984,1
0.49460015,1
0.52829700,1
0.46451781,1
0.41254252,1
0.39929079,1
0.60430457,1
0.46760804,1
0.41037351,1
0.31609229,1
0.27416823,1
0.39368473,1
0.41308190,1
0.58808064,1
0.60127175,1
0.62178236,1
0.52005052,1
0.53447020,1
0.52417786,1
0.45674061,1
0.58509840,1
0.53912778,1
0.65379188,1
0.53966316,1
0.47466501,1
0.47352202,1
0.50758783,1
0.38293687,1
0.56114979,1
0.46957447,1
0.38190580,1
0.22401254,1
0.33020330,1
0.38731068,1
0.44811820,1
0.47234956,1
0.47683193,1
0.56446782,1
0.62986090,1
0.56873164,1
0.60304490,1
0.59303761,1
0.42512324,1
0.39043414,1
0.35823553,1
0.52470663,1
0.37213335,1
0.45164088,1
0.45470909,1
0.42352305,1
0.46891444,1
0.46753360,1
0.45927923,1
0.45333873,1
0.32493755,1
0.38600473,1
0.50125229,1
0.37623169,1
0.38708986,1
0.32096186,1
0.42273826,1
0.18437010,1
0.53685591,1
0.25118307,1
0.49433325,1
0.18461581,1
0.35683389,1
0.35005050,1
0.39755989,1
0.52497340,1
0.50696764,1
0.48203914,1
0.52033889,1
0.52075894,1
0.36329451,1
0.43931532,1
0.38204206,1
0.36096407,1
0.29373109,1
0.41858916,1
0.46662956,1
0.43266813,1
0.24980545,1
0.55414386,1
0.69770621,1
0.45567541,1
0.27110492,1
0.37057661,1
0.44638527,1
0.42506954,1
0.49814430,1
0.52667348,1
0.39622857,1
0.38751657,1
0.53947606,1
0.40256538,1
0.39034317,1
0.37938747,1
0.37719368,1
0.46688904,1
0.22581981,1
0.16610487,1
0.28617433,1
0.19233421,1
0.41683334,1
0.39317106,1
0.23854179,1
0.25051883,1
0.23533783,1
0.29440620,1
0.24098922,1
0.14724620,1
0.23383226,1
0.26594282,1
0.22776946,1
0.15892797,1
0.28949687,1
0.19029771,1
0.06527443,1
0.37183072,1
0.45862895,1
0.41898522,1
0.34553037,1
0.29610382,1
0.28202637,1
0.30092309,1
0.38514398,1
0.42350244,1
0.33762118,1
0.34776041,1
0.34868729,1
0.51611530,1
0.51559445,1
0.27057871,1
0.41335970,1
0.31451059,1
0.47844837,1
0.47515571,1
0.48075322,1
0.31541332,1
0.42916068,1
0.38594877,1
0.29239235,1
0.42974686,1
0.44177524,1
0.47763436,1
0.44631840,1
0.38587228,1
0.25017077,1
0.24059567,1
0.30224860,1
0.40448112,1
0.18496381,1
0.36621620,1
0.15789942,1
0.31914395,1
0.52318388,1
0.32871276,1
0.37820569,1
0.40546276,1
0.50594991,1
0.36160311,1
0.39422959,1
0.26513248,1
0.38674033,1
0.33586313,1
0.39043462,1
0.40543465,1
0.23994796,1
0.32568455,1
0.31178641,1
0.53426244,1
0.32138713,1
0.23540517,1
