sentTime,receivedTime,diffSeconds
2023-01-15T02:15:15.286Z,2023-01-15T02:15:17.930Z,2.644
2023-01-15T02:15:17.926Z,2023-01-15T02:15:20.421Z,2.495
2023-01-15T02:15:20.581Z,2023-01-15T02:15:23.283Z,2.702
2023-01-15T02:15:23.896Z,2023-01-15T02:15:26.438Z,2.542
2023-01-15T02:15:26.516Z,2023-01-15T02:15:29.041Z,2.525
2023-01-15T02:15:29.071Z,2023-01-15T02:15:31.575Z,2.504
2023-01-15T02:15:31.916Z,2023-01-15T02:15:34.513Z,2.597
2023-01-15T02:15:34.696Z,2023-01-15T02:15:37.268Z,2.572
2023-01-15T02:15:37.237Z,2023-01-15T02:15:39.840Z,2.603
2023-01-15T02:15:39.883Z,2023-01-15T02:15:42.435Z,2.552
2023-01-15T02:15:42.787Z,2023-01-15T02:15:45.155Z,2.368
2023-01-15T02:15:45.826Z,2023-01-15T02:15:48.328Z,2.502
2023-01-15T02:15:48.326Z,2023-01-15T02:15:50.848Z,2.522
2023-01-15T02:15:51.746Z,2023-01-15T02:15:54.285Z,2.539
2023-01-15T02:15:55.142Z,2023-01-15T02:15:57.843Z,2.701
2023-01-15T02:15:58.121Z,2023-01-15T02:16:00.611Z,2.49
2023-01-15T02:16:01.108Z,2023-01-15T02:16:03.678Z,2.57
2023-01-15T02:16:03.639Z,2023-01-15T02:16:06.337Z,2.698
2023-01-15T02:16:06.595Z,2023-01-15T02:16:09.221Z,2.626
2023-01-15T02:16:09.919Z,2023-01-15T02:16:12.477Z,2.558
2023-01-15T02:16:12.881Z,2023-01-15T02:16:15.550Z,2.669
2023-01-15T02:16:16.247Z,2023-01-15T02:16:18.913Z,2.666
2023-01-15T02:16:18.736Z,2023-01-15T02:16:21.593Z,2.857
2023-01-15T02:16:21.335Z,2023-01-15T02:16:23.829Z,2.494
2023-01-15T02:16:24.046Z,2023-01-15T02:16:26.704Z,2.658
2023-01-15T02:16:27.060Z,2023-01-15T02:16:29.562Z,2.502
2023-01-15T02:16:29.565Z,2023-01-15T02:16:32.120Z,2.555
2023-01-15T02:16:32.229Z,2023-01-15T02:16:34.890Z,2.661
2023-01-15T02:16:35.083Z,2023-01-15T02:16:37.703Z,2.62
2023-01-15T02:16:37.764Z,2023-01-15T02:16:40.520Z,2.756
2023-01-15T02:16:40.452Z,2023-01-15T02:16:42.920Z,2.468
2023-01-15T02:16:43.564Z,2023-01-15T02:16:46.185Z,2.621
2023-01-15T02:16:46.401Z,2023-01-15T02:16:49.157Z,2.756
2023-01-15T02:16:49.585Z,2023-01-15T02:16:52.284Z,2.699
2023-01-15T02:16:52.713Z,2023-01-15T02:16:55.234Z,2.521
2023-01-15T02:16:55.686Z,2023-01-15T02:16:59.094Z,3.408
2023-01-15T02:16:59.053Z,2023-01-15T02:17:01.817Z,2.764
2023-01-15T02:17:02.516Z,2023-01-15T02:17:05.195Z,2.679
2023-01-15T02:17:05.082Z,2023-01-15T02:17:07.760Z,2.678
2023-01-15T02:17:08.382Z,2023-01-15T02:17:11.016Z,2.634
2023-01-15T02:17:11.068Z,2023-01-15T02:17:14.076Z,3.008
2023-01-15T02:17:13.744Z,2023-01-15T02:17:16.179Z,2.435
2023-01-15T02:17:16.659Z,2023-01-15T02:17:19.233Z,2.574
2023-01-15T02:17:19.643Z,2023-01-15T02:17:22.208Z,2.565
2023-01-15T02:17:22.232Z,2023-01-15T02:17:24.823Z,2.591
2023-01-15T02:17:25.499Z,2023-01-15T02:17:27.994Z,2.495
2023-01-15T02:17:28.699Z,2023-01-15T02:17:31.170Z,2.471
2023-01-15T02:17:31.550Z,2023-01-15T02:17:34.137Z,2.587
2023-01-15T02:17:34.120Z,2023-01-15T02:17:36.675Z,2.555
2023-01-15T02:17:37.078Z,2023-01-15T02:17:39.656Z,2.578
2023-01-15T02:17:40.214Z,2023-01-15T02:17:42.788Z,2.574
2023-01-15T02:17:42.789Z,2023-01-15T02:17:45.345Z,2.556
2023-01-15T02:17:45.789Z,2023-01-15T02:17:48.525Z,2.736
2023-01-15T02:17:49.074Z,2023-01-15T02:17:51.743Z,2.669
2023-01-15T02:17:52.023Z,2023-01-15T02:17:54.679Z,2.656
2023-01-15T02:17:54.631Z,2023-01-15T02:17:57.129Z,2.498
2023-01-15T02:17:57.915Z,2023-01-15T02:18:00.541Z,2.626
2023-01-15T02:18:00.693Z,2023-01-15T02:18:03.838Z,3.145
2023-01-15T02:18:03.673Z,2023-01-15T02:18:06.970Z,3.297
2023-01-15T02:18:06.216Z,2023-01-15T02:18:08.687Z,2.471
2023-01-15T02:18:09.171Z,2023-01-15T02:18:11.913Z,2.742
2023-01-15T02:18:12.385Z,2023-01-15T02:18:15.071Z,2.686
2023-01-15T02:18:15.811Z,2023-01-15T02:18:20.190Z,4.379
2023-01-15T02:18:18.989Z,2023-01-15T02:18:21.320Z,2.331
2023-01-15T02:18:21.646Z,2023-01-15T02:18:24.389Z,2.743
2023-01-15T02:18:24.351Z,2023-01-15T02:18:26.842Z,2.491
2023-01-15T02:18:27.716Z,2023-01-15T02:18:30.225Z,2.509
2023-01-15T02:18:30.586Z,2023-01-15T02:18:33.040Z,2.454
2023-01-15T02:18:33.675Z,2023-01-15T02:18:36.161Z,2.486
2023-01-15T02:18:36.584Z,2023-01-15T02:18:40.276Z,3.692
2023-01-15T02:18:39.271Z,2023-01-15T02:18:43.116Z,3.845
2023-01-15T02:18:42.493Z,2023-01-15T02:18:45.086Z,2.593
2023-01-15T02:18:45.264Z,2023-01-15T02:18:48.106Z,2.842
2023-01-15T02:18:47.981Z,2023-01-15T02:18:50.663Z,2.682
2023-01-15T02:18:50.487Z,2023-01-15T02:18:53.130Z,2.643
2023-01-15T02:18:53.237Z,2023-01-15T02:18:55.749Z,2.512
2023-01-15T02:18:56.256Z,2023-01-15T02:18:58.776Z,2.52
2023-01-15T02:18:59.296Z,2023-01-15T02:19:01.844Z,2.548
2023-01-15T02:19:02.160Z,2023-01-15T02:19:04.710Z,2.55
2023-01-15T02:19:04.715Z,2023-01-15T02:19:07.203Z,2.488
2023-01-15T02:19:08.075Z,2023-01-15T02:19:11.500Z,3.425
2023-01-15T02:19:10.648Z,2023-01-15T02:19:13.176Z,2.528
2023-01-15T02:19:14.103Z,2023-01-15T02:19:16.712Z,2.609
2023-01-15T02:19:17.499Z,2023-01-15T02:19:19.954Z,2.455
2023-01-15T02:19:19.932Z,2023-01-15T02:19:22.417Z,2.485
2023-01-15T02:19:22.444Z,2023-01-15T02:19:24.934Z,2.49
2023-01-15T02:19:25.783Z,2023-01-15T02:19:28.368Z,2.585
2023-01-15T02:19:28.492Z,2023-01-15T02:19:31.104Z,2.612
2023-01-15T02:19:31.112Z,2023-01-15T02:19:33.628Z,2.516
2023-01-15T02:19:34.419Z,2023-01-15T02:19:36.879Z,2.46
2023-01-15T02:19:37.029Z,2023-01-15T02:19:39.537Z,2.508
2023-01-15T02:19:39.766Z,2023-01-15T02:19:42.836Z,3.07
2023-01-15T02:19:42.332Z,2023-01-15T02:19:44.822Z,2.49
2023-01-15T02:19:44.827Z,2023-01-15T02:19:47.277Z,2.45
2023-01-15T02:19:48.136Z,2023-01-15T02:19:50.599Z,2.463
2023-01-15T02:19:51.059Z,2023-01-15T02:19:53.538Z,2.479
2023-01-15T02:19:54.013Z,2023-01-15T02:19:56.512Z,2.499
2023-01-15T02:19:56.488Z,2023-01-15T02:19:58.965Z,2.477
2023-01-15T02:19:59.509Z,2023-01-15T02:20:01.984Z,2.475
2023-01-15T02:20:02.628Z,2023-01-15T02:20:05.149Z,2.521
2023-01-15T02:20:05.735Z,2023-01-15T02:20:08.206Z,2.471
2023-01-15T02:20:08.849Z,2023-01-15T02:20:11.278Z,2.429
2023-01-15T02:20:11.782Z,2023-01-15T02:20:14.290Z,2.508
2023-01-15T02:20:14.936Z,2023-01-15T02:20:17.404Z,2.468
2023-01-15T02:20:18.312Z,2023-01-15T02:20:20.819Z,2.507
2023-01-15T02:20:21.427Z,2023-01-15T02:20:23.907Z,2.48
2023-01-15T02:20:24.693Z,2023-01-15T02:20:27.142Z,2.449
2023-01-15T02:20:27.930Z,2023-01-15T02:20:30.359Z,2.429
2023-01-15T02:20:30.867Z,2023-01-15T02:20:33.353Z,2.486
2023-01-15T02:20:34.056Z,2023-01-15T02:20:36.518Z,2.462
2023-01-15T02:20:37.170Z,2023-01-15T02:20:39.625Z,2.455
2023-01-15T02:20:40.272Z,2023-01-15T02:20:42.697Z,2.425
2023-01-15T02:20:42.756Z,2023-01-15T02:20:45.238Z,2.482
2023-01-15T02:20:46.196Z,2023-01-15T02:20:48.660Z,2.464
2023-01-15T02:20:49.625Z,2023-01-15T02:20:52.090Z,2.465
2023-01-15T02:20:52.782Z,2023-01-15T02:20:55.259Z,2.477
2023-01-15T02:20:55.981Z,2023-01-15T02:20:58.430Z,2.449
2023-01-15T02:20:58.820Z,2023-01-15T02:21:01.254Z,2.434
2023-01-15T02:21:01.997Z,2023-01-15T02:21:04.478Z,2.481
2023-01-15T02:21:04.628Z,2023-01-15T02:21:07.068Z,2.44
2023-01-15T02:21:07.127Z,2023-01-15T02:21:09.593Z,2.466
2023-01-15T02:21:10.356Z,2023-01-15T02:21:12.843Z,2.487
2023-01-15T02:21:12.912Z,2023-01-15T02:21:15.446Z,2.534
2023-01-15T02:21:15.592Z,2023-01-15T02:21:18.065Z,2.473
2023-01-15T02:21:18.878Z,2023-01-15T02:21:21.337Z,2.459
2023-01-15T02:21:21.626Z,2023-01-15T02:21:24.082Z,2.456
2023-01-15T02:21:24.599Z,2023-01-15T02:21:26.938Z,2.339
2023-01-15T02:21:27.123Z,2023-01-15T02:21:29.469Z,2.346
2023-01-15T02:21:30.416Z,2023-01-15T02:21:32.772Z,2.356
2023-01-15T02:21:32.909Z,2023-01-15T02:21:35.226Z,2.317
2023-01-15T02:21:36.069Z,2023-01-15T02:21:38.428Z,2.359
2023-01-15T02:21:38.776Z,2023-01-15T02:21:41.099Z,2.323
2023-01-15T02:21:42.093Z,2023-01-15T02:21:44.445Z,2.352
2023-01-15T02:21:45.162Z,2023-01-15T02:21:47.620Z,2.458
2023-01-15T02:21:47.896Z,2023-01-15T02:21:50.340Z,2.444
2023-01-15T02:21:51.009Z,2023-01-15T02:21:53.481Z,2.472
2023-01-15T02:21:53.820Z,2023-01-15T02:21:56.287Z,2.467
2023-01-15T02:21:56.739Z,2023-01-15T02:21:59.207Z,2.468
2023-01-15T02:21:59.556Z,2023-01-15T02:22:02.044Z,2.488
2023-01-15T02:22:02.292Z,2023-01-15T02:22:04.628Z,2.336
2023-01-15T02:22:05.226Z,2023-01-15T02:22:07.688Z,2.462
2023-01-15T02:22:08.008Z,2023-01-15T02:22:10.475Z,2.467
2023-01-15T02:22:10.721Z,2023-01-15T02:22:13.224Z,2.503
2023-01-15T02:22:13.892Z,2023-01-15T02:22:16.338Z,2.446
2023-01-15T02:22:16.694Z,2023-01-15T02:22:19.123Z,2.429
2023-01-15T02:22:19.986Z,2023-01-15T02:22:22.473Z,2.487
2023-01-15T02:22:23.257Z,2023-01-15T02:22:25.752Z,2.495
2023-01-15T02:22:26.403Z,2023-01-15T02:22:28.869Z,2.466
2023-01-15T02:22:29.539Z,2023-01-15T02:22:31.969Z,2.43
2023-01-15T02:22:32.674Z,2023-01-15T02:22:35.106Z,2.432
2023-01-15T02:22:35.665Z,2023-01-15T02:22:38.113Z,2.448
2023-01-15T02:22:38.399Z,2023-01-15T02:22:40.878Z,2.479
2023-01-15T02:22:41.001Z,2023-01-15T02:22:43.470Z,2.469
2023-01-15T02:22:43.781Z,2023-01-15T02:22:46.226Z,2.445
2023-01-15T02:22:46.256Z,2023-01-15T02:22:48.698Z,2.442
2023-01-15T02:22:49.072Z,2023-01-15T02:22:51.418Z,2.346
2023-01-15T02:22:51.456Z,2023-01-15T02:22:53.924Z,2.468
2023-01-15T02:22:54.745Z,2023-01-15T02:22:57.205Z,2.46
2023-01-15T02:22:58.096Z,2023-01-15T02:23:00.574Z,2.478
2023-01-15T02:23:01.559Z,2023-01-15T02:23:04.034Z,2.475
2023-01-15T02:23:04.879Z,2023-01-15T02:23:07.515Z,2.636
2023-01-15T02:23:07.498Z,2023-01-15T02:23:09.960Z,2.462
2023-01-15T02:23:10.706Z,2023-01-15T02:23:13.208Z,2.502
2023-01-15T02:23:13.479Z,2023-01-15T02:23:15.910Z,2.431
2023-01-15T02:23:16.108Z,2023-01-15T02:23:18.591Z,2.483
2023-01-15T02:23:18.862Z,2023-01-15T02:23:21.317Z,2.455
2023-01-15T02:23:21.326Z,2023-01-15T02:23:23.817Z,2.491
2023-01-15T02:23:24.072Z,2023-01-15T02:23:26.567Z,2.495
2023-01-15T02:23:26.689Z,2023-01-15T02:23:29.150Z,2.461
2023-01-15T02:23:29.898Z,2023-01-15T02:23:32.368Z,2.47
2023-01-15T02:23:33.011Z,2023-01-15T02:23:35.466Z,2.455
