model,dataset,far,tpr
insightface-buffalo-l,lfw,0.6233333333333333,0.997
insightface-buffalo-l,lfw,0.6333333333333333,0.997
insightface-buffalo-l,lfw,0.6433333333333333,0.997
insightface-buffalo-l,lfw,0.6533333333333333,0.997
insightface-buffalo-l,lfw,0.6633333333333333,0.997
insightface-buffalo-l,lfw,0.673,0.9973333333333333
insightface-buffalo-l,lfw,0.6826666666666666,0.9976666666666667
insightface-buffalo-l,lfw,0.6926666666666667,0.9976666666666667
insightface-buffalo-l,lfw,0.7023333333333334,0.998
insightface-buffalo-l,lfw,0.7123333333333334,0.998
insightface-buffalo-l,lfw,0.7223333333333334,0.998
insightface-buffalo-l,lfw,0.732,0.9983333333333333
insightface-buffalo-l,lfw,0.7416666666666667,0.9986666666666667
insightface-buffalo-l,lfw,0.7516666666666667,0.9986666666666667
insightface-buffalo-l,lfw,0.7616666666666667,0.9986666666666667
insightface-buffalo-l,lfw,0.7716666666666666,0.9986666666666667
insightface-buffalo-l,lfw,0.7816666666666666,0.9986666666666667
insightface-buffalo-l,lfw,0.7913333333333333,0.999
insightface-buffalo-l,lfw,0.8013333333333333,0.999
insightface-buffalo-l,lfw,0.811,0.9993333333333333
insightface-buffalo-l,lfw,0.821,0.9993333333333333
insightface-buffalo-l,lfw,0.831,0.9993333333333333
insightface-buffalo-l,lfw,0.841,0.9993333333333333
insightface-buffalo-l,lfw,0.851,0.9993333333333333
insightface-buffalo-l,lfw,0.8606666666666667,0.9996666666666667
insightface-buffalo-l,lfw,0.8706666666666667,0.9996666666666667
insightface-buffalo-l,lfw,0.8806666666666667,0.9996666666666667
insightface-buffalo-l,lfw,0.8906666666666667,0.9996666666666667
insightface-buffalo-l,lfw,0.9006666666666666,0.9996666666666667
insightface-buffalo-l,lfw,0.9106666666666666,0.9996666666666667
insightface-buffalo-l,lfw,0.9206666666666666,0.9996666666666667
insightface-buffalo-l,lfw,0.9306666666666666,0.9996666666666667
insightface-buffalo-l,lfw,0.9406666666666667,0.9996666666666667
insightface-buffalo-l,lfw,0.9506666666666667,0.9996666666666667
insightface-buffalo-l,lfw,0.9606666666666667,0.9996666666666667
insightface-buffalo-l,lfw,0.9706666666666667,0.9996666666666667
insightface-buffalo-l,lfw,0.9803333333333333,1
insightface-buffalo-l,lfw,0.9903333333333333,1
insightface-buffalo-m,lfw,0,0.0003333333333333333
insightface-buffalo-m,lfw,0,0.010333333333333333
insightface-buffalo-m,lfw,0,0.02033333333333333
insightface-buffalo-m,lfw,0,0.030333333333333334
insightface-buffalo-m,lfw,0,0.04033333333333333
insightface-buffalo-m,lfw,0,0.050333333333333334
insightface-buffalo-m,lfw,0,0.060333333333333336
insightface-buffalo-m,lfw,0,0.07033333333333333
insightface-buffalo-m,lfw,0,0.08033333333333334
insightface-buffalo-m,lfw,0,0.09033333333333333
insightface-buffalo-m,lfw,0,0.10033333333333333
insightface-buffalo-m,lfw,0,0.11033333333333334
insightface-buffalo-m,lfw,0,0.12033333333333333
insightface-buffalo-m,lfw,0,0.13033333333333333
insightface-buffalo-m,lfw,0,0.14033333333333334
insightface-buffalo-m,lfw,0,0.15033333333333335
insightface-buffalo-m,lfw,0,0.16033333333333333
insightface-buffalo-m,lfw,0,0.17033333333333334
insightface-buffalo-m,lfw,0,0.18033333333333335
insightface-buffalo-m,lfw,0,0.19033333333333333
insightface-buffalo-m,lfw,0,0.20033333333333334
insightface-buffalo-m,lfw,0,0.21033333333333334
insightface-buffalo-m,lfw,0,0.22033333333333333
insightface-buffalo-m,lfw,0,0.23033333333333333
insightface-buffalo-m,lfw,0,0.24033333333333334
insightface-buffalo-m,lfw,0,0.25033333333333335
insightface-buffalo-m,lfw,0,0.26033333333333336
insightface-buffalo-m,lfw,0,0.2703333333333333
insightface-buffalo-m,lfw,0,0.2803333333333333
insightface-buffalo-m,lfw,0,0.29033333333333333
insightface-buffalo-m,lfw,0,0.30033333333333334
insightface-buffalo-m,lfw,0,0.31033333333333335
insightface-buffalo-m,lfw,0,0.32033333333333336
insightface-buffalo-m,lfw,0,0.3303333333333333
insightface-buffalo-m,lfw,0,0.3403333333333333
insightface-buffalo-m,lfw,0,0.35033333333333333
insightface-buffalo-m,lfw,0,0.36033333333333334
insightface-buffalo-m,lfw,0,0.37033333333333335
insightface-buffalo-m,lfw,0,0.38033333333333336
insightface-buffalo-m,lfw,0,0.3903333333333333
insightface-buffalo-m,lfw,0,0.4003333333333333
insightface-buffalo-m,lfw,0,0.4103333333333333
insightface-buffalo-m,lfw,0,0.42033333333333334
insightface-buffalo-m,lfw,0,0.43033333333333335
insightface-buffalo-m,lfw,0,0.44033333333333335
insightface-buffalo-m,lfw,0,0.4503333333333333
insightface-buffalo-m,lfw,0,0.4603333333333333
insightface-buffalo-m,lfw,0,0.4703333333333333
insightface-buffalo-m,lfw,0,0.48033333333333333
insightface-buffalo-m,lfw,0,0.49033333333333334
insightface-buffalo-m,lfw,0,0.5003333333333333
insightface-buffalo-m,lfw,0,0.5103333333333333
insightface-buffalo-m,lfw,0,0.5203333333333333
insightface-buffalo-m,lfw,0,0.5303333333333333
insightface-buffalo-m,lfw,0,0.5403333333333333
insightface-buffalo-m,lfw,0,0.5503333333333333
insightface-buffalo-m,lfw,0,0.5603333333333333
insightface-buffalo-m,lfw,0,0.5703333333333334
insightface-buffalo-m,lfw,0,0.5803333333333334
insightface-buffalo-m,lfw,0,0.5903333333333334
insightface-buffalo-m,lfw,0,0.6003333333333334
insightface-buffalo-m,lfw,0,0.6103333333333333
insightface-buffalo-m,lfw,0,0.6203333333333333
insightface-buffalo-m,lfw,0,0.6303333333333333
insightface-buffalo-m,lfw,0,0.6403333333333333
insightface-buffalo-m,lfw,0,0.6503333333333333
insightface-buffalo-m,lfw,0,0.6603333333333333
insightface-buffalo-m,lfw,0,0.6703333333333333
insightface-buffalo-m,lfw,0,0.6803333333333333
insightface-buffalo-m,lfw,0.0003333333333333333,0.69
insightface-buffalo-m,lfw,0.0003333333333333333,0.7
insightface-buffalo-m,lfw,0.0003333333333333333,0.71
insightface-buffalo-m,lfw,0.0006666666666666666,0.7196666666666667
insightface-buffalo-m,lfw,0.0006666666666666666,0.7296666666666667
insightface-buffalo-m,lfw,0.0006666666666666666,0.7396666666666667
insightface-buffalo-m,lfw,0.001,0.7493333333333333
insightface-buffalo-m,lfw,0.001,0.7593333333333333
insightface-buffalo-m,lfw,0.0016666666666666668,0.7686666666666667
insightface-buffalo-m,lfw,0.002,0.7783333333333333
insightface-buffalo-m,lfw,0.002,0.7883333333333333
insightface-buffalo-m,lfw,0.0023333333333333335,0.798
insightface-buffalo-m,lfw,0.0026666666666666666,0.8076666666666666
insightface-buffalo-m,lfw,0.003,0.8173333333333334
insightface-buffalo-m,lfw,0.0033333333333333335,0.827
insightface-buffalo-m,lfw,0.004666666666666667,0.8356666666666667
insightface-buffalo-m,lfw,0.005333333333333333,0.845
insightface-buffalo-m,lfw,0.006,0.8543333333333333
insightface-buffalo-m,lfw,0.006666666666666667,0.8636666666666667
insightface-buffalo-m,lfw,0.008333333333333333,0.872
insightface-buffalo-m,lfw,0.01,0.8803333333333333
insightface-buffalo-m,lfw,0.011666666666666667,0.8886666666666667
insightface-buffalo-m,lfw,0.013,0.8973333333333333
insightface-buffalo-m,lfw,0.016,0.9043333333333333
insightface-buffalo-m,lfw,0.017666666666666667,0.9126666666666666
insightface-buffalo-m,lfw,0.021333333333333333,0.919
insightface-buffalo-m,lfw,0.025333333333333333,0.925
insightface-buffalo-m,lfw,0.029666666666666668,0.9306666666666666
insightface-buffalo-m,lfw,0.034333333333333334,0.936
insightface-buffalo-m,lfw,0.04133333333333333,0.939
insightface-buffalo-m,lfw,0.04633333333333333,0.944
insightface-buffalo-m,lfw,0.05366666666666667,0.9466666666666667
insightface-buffalo-m,lfw,0.06166666666666667,0.9486666666666667
insightface-buffalo-m,lfw,0.06833333333333333,0.952
insightface-buffalo-m,lfw,0.075,0.9553333333333334
insightface-buffalo-m,lfw,0.08033333333333334,0.96
insightface-buffalo-m,lfw,0.088,0.9623333333333334
insightface-buffalo-m,lfw,0.09666666666666666,0.9636666666666667
insightface-buffalo-m,lfw,0.10533333333333333,0.965
insightface-buffalo-m,lfw,0.114,0.9663333333333334
insightface-buffalo-m,lfw,0.12066666666666667,0.9696666666666667
insightface-buffalo-m,lfw,0.12866666666666668,0.9716666666666667
insightface-buffalo-m,lfw,0.13766666666666666,0.9726666666666667
insightface-buffalo-m,lfw,0.146,0.9743333333333334
insightface-buffalo-m,lfw,0.15533333333333332,0.975
insightface-buffalo-m,lfw,0.165,0.9753333333333334
insightface-buffalo-m,lfw,0.17333333333333334,0.977
insightface-buffalo-m,lfw,0.183,0.9773333333333334
insightface-buffalo-m,lfw,0.19133333333333333,0.979
insightface-buffalo-m,lfw,0.20133333333333334,0.979
insightface-buffalo-m,lfw,0.21066666666666667,0.9796666666666667
insightface-buffalo-m,lfw,0.219,0.9813333333333333
insightface-buffalo-m,lfw,0.22766666666666666,0.9826666666666667
insightface-buffalo-m,lfw,0.23733333333333334,0.983
insightface-buffalo-m,lfw,0.24633333333333332,0.984
insightface-buffalo-m,lfw,0.255,0.9853333333333333
insightface-buffalo-m,lfw,0.2643333333333333,0.986
insightface-buffalo-m,lfw,0.2733333333333333,0.987
insightface-buffalo-m,lfw,0.2826666666666667,0.9876666666666667
insightface-buffalo-m,lfw,0.292,0.9883333333333333
insightface-buffalo-m,lfw,0.3016666666666667,0.9886666666666667
insightface-buffalo-m,lfw,0.31133333333333335,0.989
insightface-buffalo-m,lfw,0.32066666666666666,0.9896666666666667
insightface-buffalo-m,lfw,0.3303333333333333,0.99
insightface-buffalo-m,lfw,0.3396666666666667,0.9906666666666667
insightface-buffalo-m,lfw,0.34933333333333333,0.991
insightface-buffalo-m,lfw,0.359,0.9913333333333333
insightface-buffalo-m,lfw,0.36866666666666664,0.9916666666666667
insightface-buffalo-m,lfw,0.37866666666666665,0.9916666666666667
insightface-buffalo-m,lfw,0.38866666666666666,0.9916666666666667
insightface-buffalo-m,lfw,0.3983333333333333,0.992
insightface-buffalo-m,lfw,0.408,0.9923333333333333
insightface-buffalo-m,lfw,0.418,0.9923333333333333
insightface-buffalo-m,lfw,0.42733333333333334,0.993
insightface-buffalo-m,lfw,0.43733333333333335,0.993
insightface-buffalo-m,lfw,0.44733333333333336,0.993
insightface-buffalo-m,lfw,0.4573333333333333,0.993
insightface-buffalo-m,lfw,0.4673333333333333,0.993
insightface-buffalo-m,lfw,0.47733333333333333,0.993
insightface-buffalo-m,lfw,0.4866666666666667,0.9936666666666667
insightface-buffalo-m,lfw,0.49633333333333335,0.994
insightface-buffalo-m,lfw,0.5063333333333333,0.994
insightface-buffalo-m,lfw,0.5163333333333333,0.994
insightface-buffalo-m,lfw,0.5256666666666666,0.9946666666666667
insightface-buffalo-m,lfw,0.5353333333333333,0.995
insightface-buffalo-m,lfw,0.545,0.9953333333333333
insightface-buffalo-m,lfw,0.5543333333333333,0.996
insightface-buffalo-m,lfw,0.564,0.9963333333333333
insightface-buffalo-m,lfw,0.574,0.9963333333333333
insightface-buffalo-m,lfw,0.584,0.9963333333333333
insightface-buffalo-m,lfw,0.594,0.9963333333333333
insightface-buffalo-m,lfw,0.6036666666666667,0.9966666666666667
insightface-buffalo-m,lfw,0.6136666666666667,0.9966666666666667
insightface-buffalo-m,lfw,0.6233333333333333,0.997
insightface-buffalo-m,lfw,0.6333333333333333,0.997
insightface-buffalo-m,lfw,0.6433333333333333,0.997
insightface-buffalo-m,lfw,0.6533333333333333,0.997
insightface-buffalo-m,lfw,0.6633333333333333,0.997
insightface-buffalo-m,lfw,0.673,0.9973333333333333
insightface-buffalo-m,lfw,0.6826666666666666,0.9976666666666667
insightface-buffalo-m,lfw,0.6926666666666667,0.9976666666666667
insightface-buffalo-m,lfw,0.7023333333333334,0.998
insightface-buffalo-m,lfw,0.7123333333333334,0.998
insightface-buffalo-m,lfw,0.7223333333333334,0.998
insightface-buffalo-m,lfw,0.732,0.9983333333333333
insightface-buffalo-m,lfw,0.7416666666666667,0.9986666666666667
insightface-buffalo-m,lfw,0.7516666666666667,0.9986666666666667
insightface-buffalo-m,lfw,0.7616666666666667,0.9986666666666667
insightface-buffalo-m,lfw,0.7716666666666666,0.9986666666666667
insightface-buffalo-m,lfw,0.7816666666666666,0.9986666666666667
insightface-buffalo-m,lfw,0.7913333333333333,0.999
insightface-buffalo-m,lfw,0.8013333333333333,0.999
insightface-buffalo-m,lfw,0.811,0.9993333333333333
insightface-buffalo-m,lfw,0.821,0.9993333333333333
insightface-buffalo-m,lfw,0.831,0.9993333333333333
insightface-buffalo-m,lfw,0.841,0.9993333333333333
insightface-buffalo-m,lfw,0.851,0.9993333333333333
insightface-buffalo-m,lfw,0.8606666666666667,0.9996666666666667
insightface-buffalo-m,lfw,0.8706666666666667,0.9996666666666667
insightface-buffalo-m,lfw,0.8806666666666667,0.9996666666666667
insightface-buffalo-m,lfw,0.8906666666666667,0.9996666666666667
insightface-buffalo-m,lfw,0.9006666666666666,0.9996666666666667
insightface-buffalo-m,lfw,0.9106666666666666,0.9996666666666667
insightface-buffalo-m,lfw,0.9206666666666666,0.9996666666666667
insightface-buffalo-m,lfw,0.9306666666666666,0.9996666666666667
insightface-buffalo-m,lfw,0.9406666666666667,0.9996666666666667
insightface-buffalo-m,lfw,0.9506666666666667,0.9996666666666667
insightface-buffalo-m,lfw,0.9606666666666667,0.9996666666666667
insightface-buffalo-m,lfw,0.9706666666666667,0.9996666666666667
insightface-buffalo-m,lfw,0.9803333333333333,1
insightface-buffalo-m,lfw,0.9903333333333333,1
insightface-buffalo-s,lfw,0,0.0003333333333333333
insightface-buffalo-s,lfw,0,0.010333333333333333
insightface-buffalo-s,lfw,0,0.02033333333333333
insightface-buffalo-s,lfw,0,0.030333333333333334
insightface-buffalo-s,lfw,0,0.04033333333333333
insightface-buffalo-s,lfw,0,0.050333333333333334
insightface-buffalo-s,lfw,0,0.060333333333333336
insightface-buffalo-s,lfw,0,0.07033333333333333
insightface-buffalo-s,lfw,0,0.08033333333333334
insightface-buffalo-s,lfw,0,0.09033333333333333
insightface-buffalo-s,lfw,0,0.10033333333333333
insightface-buffalo-s,lfw,0,0.11033333333333334
insightface-buffalo-s,lfw,0,0.12033333333333333
insightface-buffalo-s,lfw,0,0.13033333333333333
insightface-buffalo-s,lfw,0,0.14033333333333334
insightface-buffalo-s,lfw,0,0.15033333333333335
insightface-buffalo-s,lfw,0,0.16033333333333333
insightface-buffalo-s,lfw,0,0.17033333333333334
insightface-buffalo-s,lfw,0,0.18033333333333335
insightface-buffalo-s,lfw,0,0.19033333333333333
insightface-buffalo-s,lfw,0,0.20033333333333334
insightface-buffalo-s,lfw,0,0.21033333333333334
insightface-buffalo-s,lfw,0,0.22033333333333333
insightface-buffalo-s,lfw,0,0.23033333333333333
insightface-buffalo-s,lfw,0,0.24033333333333334
insightface-buffalo-s,lfw,0,0.25033333333333335
insightface-buffalo-s,lfw,0,0.26033333333333336
insightface-buffalo-s,lfw,0,0.2703333333333333
insightface-buffalo-s,lfw,0,0.2803333333333333
insightface-buffalo-s,lfw,0,0.29033333333333333
insightface-buffalo-s,lfw,0,0.30033333333333334
insightface-buffalo-s,lfw,0,0.31033333333333335
insightface-buffalo-s,lfw,0,0.32033333333333336
insightface-buffalo-s,lfw,0,0.3303333333333333
insightface-buffalo-s,lfw,0,0.3403333333333333
insightface-buffalo-s,lfw,0,0.35033333333333333
insightface-buffalo-s,lfw,0,0.36033333333333334
insightface-buffalo-s,lfw,0.0003333333333333333,0.37
insightface-buffalo-s,lfw,0.0003333333333333333,0.38
insightface-buffalo-s,lfw,0.0003333333333333333,0.39
insightface-buffalo-s,lfw,0.0003333333333333333,0.4
insightface-buffalo-s,lfw,0.0006666666666666666,0.4096666666666667
insightface-buffalo-s,lfw,0.001,0.41933333333333334
insightface-buffalo-s,lfw,0.001,0.42933333333333334
insightface-buffalo-s,lfw,0.001,0.43933333333333335
insightface-buffalo-s,lfw,0.0013333333333333333,0.449
insightface-buffalo-s,lfw,0.0016666666666666668,0.45866666666666667
insightface-buffalo-s,lfw,0.002,0.4683333333333333
insightface-buffalo-s,lfw,0.0026666666666666666,0.4776666666666667
insightface-buffalo-s,lfw,0.003,0.48733333333333334
insightface-buffalo-s,lfw,0.003,0.49733333333333335
insightface-buffalo-s,lfw,0.003,0.5073333333333333
insightface-buffalo-s,lfw,0.0036666666666666666,0.5166666666666667
insightface-buffalo-s,lfw,0.004333333333333333,0.526
insightface-buffalo-s,lfw,0.004666666666666667,0.5356666666666666
insightface-buffalo-s,lfw,0.005666666666666667,0.5446666666666666
insightface-buffalo-s,lfw,0.006,0.5543333333333333
insightface-buffalo-s,lfw,0.006333333333333333,0.564
insightface-buffalo-s,lfw,0.006333333333333333,0.574
insightface-buffalo-s,lfw,0.007,0.5833333333333334
insightface-buffalo-s,lfw,0.007333333333333333,0.593
insightface-buffalo-s,lfw,0.008666666666666666,0.6016666666666667
insightface-buffalo-s,lfw,0.009666666666666667,0.6106666666666667
insightface-buffalo-s,lfw,0.01,0.6203333333333333
insightface-buffalo-s,lfw,0.011333333333333334,0.629
insightface-buffalo-s,lfw,0.012333333333333333,0.638
insightface-buffalo-s,lfw,0.013,0.6473333333333333
insightface-buffalo-s,lfw,0.013666666666666667,0.6566666666666666
insightface-buffalo-s,lfw,0.015333333333333332,0.665
insightface-buffalo-s,lfw,0.016666666666666666,0.6736666666666666
insightface-buffalo-s,lfw,0.016666666666666666,0.6836666666666666
insightface-buffalo-s,lfw,0.019,0.6913333333333334
insightface-buffalo-s,lfw,0.02,0.7003333333333334
insightface-buffalo-s,lfw,0.021,0.7093333333333334
insightface-buffalo-s,lfw,0.023333333333333334,0.717
insightface-buffalo-s,lfw,0.024666666666666667,0.7256666666666667
insightface-buffalo-s,lfw,0.026333333333333334,0.734
insightface-buffalo-s,lfw,0.029333333333333333,0.741
insightface-buffalo-s,lfw,0.03333333333333333,0.747
insightface-buffalo-s,lfw,0.037333333333333336,0.753
insightface-buffalo-s,lfw,0.03933333333333333,0.761
insightface-buffalo-s,lfw,0.041,0.7693333333333333
insightface-buffalo-s,lfw,0.043666666666666666,0.7766666666666666
insightface-buffalo-s,lfw,0.04766666666666667,0.7826666666666666
insightface-buffalo-s,lfw,0.051666666666666666,0.7886666666666666
insightface-buffalo-s,lfw,0.05433333333333333,0.796
insightface-buffalo-s,lfw,0.058666666666666666,0.8016666666666666
insightface-buffalo-s,lfw,0.062,0.8083333333333333
insightface-buffalo-s,lfw,0.06566666666666666,0.8146666666666667
insightface-buffalo-s,lfw,0.07033333333333333,0.82
